,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics
19,테마강좌,외국인근로자(Foreign),-,위생 및 정리수납 노하우(INA),1,19,iframe,False
20,테마강좌,외국인근로자(Foreign),-,위생 및 정리수납 노하우(VIE),1,20,iframe,False
21,테마강좌,주민자치강좌,-,금호1동 주민자치회 활성화 사례,1,21,iframe,False
22,테마강좌,주민자치강좌,-,고양동 주민자치회 활성화 사례,1,22,iframe,False
23,테마강좌,주민자치강좌,-,주민자치&주민주권의 실현,1,23,iframe,False
24,테마강좌,주민자치강좌,-,담양군 주민자치회 활성화 사례,1,24,iframe,False
25,테마강좌,주민자치강좌,-,주민세 연계 주민자치 활성화 사례,1,25,iframe,False
26,테마강좌,주민자치강좌,-,주민주권시대 풀뿌리 주민자치,1,26,iframe,False
27,테마강좌,주민자치강좌,-,청양읍 주민자치회 활성화 사례,1,27,iframe,False
28,정규강좌,정보화/IT,SNS활용,인스타그램 마케팅 실전기법,2,28,frame,False
29,정규강좌,정보화/IT,인공지능,"ChatGPT, 멀티모달 AI의 미래를 열다",2,29,frame,False
30,정규강좌,정보화/IT,디지털 트랜스포메이션,세상을 뒤바꿀 미래기술 25,2,30,frame,False
31,정규강좌,정보화/IT,메타버스,"[카드뉴스] 메타버스, 앞으로 만날 두번째 세계",2,31,iframe,False
32,정규강좌,취업,직무적성검사,취업멘토 이민영의 최종합격 취업꿀팁,2,32,frame,False
33,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 의사소통능력,2,33,frame,False
34,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 정보능력,2,34,frame,False
35,정규강좌,취업,직업기초능력, NCS 직업기초능력평가 - 자기개발능력,2,35,frame,False
36,정규강좌,취업,인생이모작,[카드뉴스] 파이어족이 온다: 빠르게 은퇴를 준비하는 사람들,2,36,iframe,False
37,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 대인관계 능력,2,37,frame,False
38,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 문제해결능력,2,38,frame,False
39,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 조직이해능력,2,39,frame,False
